country,date,elo_rating
Curaçao,2025-09-05,1402
Curaçao,2025-09-09,1407
Curaçao,2025-10-10,1442
Curaçao,2025-10-14,1435
Curaçao,2025-11-13,1456
Curaçao,2025-11-18,1466
Curaçao,2026-03-27,1440
Curaçao,2026-03-31,1436
Cyprus,2024-03-21,1320
Cyprus,2024-03-25,1318
Cyprus,2024-06-08,1312
Cyprus,2024-06-11,1315
Cyprus,2024-09-06,1343
Cyprus,2024-09-09,1309
Cyprus,2024-10-12,1299
Cyprus,2024-10-15,1290
Cyprus,2024-11-15,1305
Cyprus,2024-11-18,1301
Cyprus,2025-09-06,1298
Cyprus,2025-10-09,1317
Cyprus,2025-11-15,1320
Czech Republic,2024-03-22,1769
Czech Republic,2024-03-26,1771
Czech Republic,2024-06-07,1773
Czech Republic,2024-06-10,1776
Czech Republic,2024-06-18,1765
Czech Republic,2024-06-22,1756
Czech Republic,2024-06-26,1731
Czech Republic,2024-09-07,1703
Czech Republic,2024-09-10,1722
Czech Republic,2024-10-11,1737
Czech Republic,2024-10-14,1740
Czech Republic,2024-11-16,1741
Czech Republic,2024-11-19,1753
Czech Republic,2025-06-06,1763
Czech Republic,2025-06-09,1749
Czech Republic,2025-09-05,1768
Czech Republic,2025-09-08,1761
Czech Republic,2025-10-09,1765
Czech Republic,2025-10-12,1730
Czech Republic,2025-11-13,1730
Czech Republic,2025-11-17,1731
Czech Republic,2026-03-26,1723
Czech Republic,2026-03-31,1726
DR Congo,2024-01-06,1494
DR Congo,2024-01-10,1486
DR Congo,2024-01-17,1486
DR Congo,2024-01-21,1506
DR Congo,2024-01-24,1496
DR Congo,2024-01-28,1506
DR Congo,2024-02-02,1543
DR Congo,2024-02-07,1527
DR Congo,2024-02-10,1531
DR Congo,2024-06-06,1546
DR Congo,2024-06-09,1553
DR Congo,2024-09-06,1564
DR Congo,2024-09-09,1575
DR Congo,2024-10-10,1582
DR Congo,2024-10-15,1604
DR Congo,2024-11-16,1577
DR Congo,2024-11-19,1540
DR Congo,2025-10-10,1590
DR Congo,2025-10-14,1596
DR Congo,2025-11-13,1615
DR Congo,2025-11-16,1616
DR Congo,2025-12-23,1635
DR Congo,2025-12-27,1647
DR Congo,2025-12-30,1657
DR Congo,2026-01-06,1639
DR Congo,2026-03-25,1640
DR Congo,2026-03-31,1655
Denmark,2024-03-23,1821
Denmark,2024-03-26,1822
Denmark,2024-06-05,1826
Denmark,2024-06-08,1834
Denmark,2024-06-16,1827
Denmark,2024-06-20,1838
Denmark,2024-06-25,1834
Denmark,2024-06-29,1816
Denmark,2024-09-05,1845
Denmark,2024-09-08,1863
Denmark,2024-10-12,1859
Denmark,2024-10-15,1863
Denmark,2024-11-15,1854
Denmark,2024-11-18,1857
Denmark,2025-09-05,1853
Denmark,2025-11-18,1865
Denmark,2026-03-31,1870
Dominican Republic,2024-03-23,1209
Dominican Republic,2024-03-26,1208
Dominican Republic,2024-06-06,1206
Dominican Republic,2024-06-11,1208
Dominican Republic,2024-09-07,1223
Dominican Republic,2024-09-10,1238
Dominican Republic,2024-10-12,1250
Dominican Republic,2024-10-15,1261
Dominican Republic,2024-11-16,1269
Dominican Republic,2024-11-19,1287
Dominican Republic,2025-10-10,1285
Ecuador,2024-03-21,1885
Ecuador,2024-03-24,1872
Ecuador,2024-06-09,1868
Ecuador,2024-06-12,1873
Ecuador,2024-06-16,1875
Ecuador,2024-06-22,1841
Ecuador,2024-06-26,1858
Ecuador,2024-06-30,1852
Ecuador,2024-07-04,1870
Ecuador,2024-09-06,1862
Ecuador,2024-09-10,1870
Ecuador,2024-10-10,1857
Ecuador,2024-10-15,1866
Ecuador,2024-11-14,1877
Ecuador,2024-11-19,1909
Ecuador,2025-06-05,1909
Ecuador,2025-06-10,1905
Ecuador,2025-09-04,1906
Ecuador,2025-09-09,1933
Ecuador,2025-10-10,1929
Ecuador,2025-10-14,1930
Ecuador,2025-11-13,1929
Ecuador,2025-11-18,1933
Ecuador,2026-03-27,1929
Ecuador,2026-03-31,1933
Egypt,2024-01-07,1686
Egypt,2024-01-14,1668
Egypt,2024-01-18,1657
Egypt,2024-01-22,1649
Egypt,2024-01-28,1639
Egypt,2024-03-22,1646
Egypt,2024-03-26,1635
Egypt,2024-06-06,1643
Egypt,2024-06-10,1633
Egypt,2024-09-06,1652
Egypt,2024-09-10,1666
Egypt,2024-10-11,1671
Egypt,2024-10-15,1679
Egypt,2024-11-15,1674
Egypt,2024-11-19,1657
Egypt,2025-11-14,1648
Egypt,2025-11-17,1644
Egypt,2025-12-09,1590
Egypt,2025-12-22,1608
Egypt,2025-12-26,1629
Egypt,2025-12-29,1623
Egypt,2026-01-05,1641
Egypt,2026-01-10,1668
Egypt,2026-01-14,1653
Egypt,2026-01-17,1659
Egypt,2026-03-27,1680
Egypt,2026-03-31,1689
El Salvador,2024-02-02,1403
El Salvador,2024-03-20,1394
El Salvador,2024-03-22,1394
El Salvador,2024-03-26,1397
El Salvador,2024-06-06,1381
El Salvador,2024-06-09,1390
El Salvador,2024-06-14,1388
El Salvador,2024-07-27,1401
El Salvador,2024-09-05,1408
El Salvador,2024-09-08,1410
El Salvador,2024-10-10,1419
El Salvador,2024-10-13,1387
El Salvador,2024-11-14,1388
El Salvador,2024-11-17,1390
El Salvador,2025-06-24,1362
El Salvador,2025-10-10,1363
El Salvador,2025-11-18,1324
England,2024-03-23,2001
England,2024-03-26,1998
England,2024-06-03,1999
England,2024-06-07,1980
England,2024-06-16,1993
England,2024-06-20,1982
England,2024-06-25,1967
England,2024-06-30,1976
England,2024-07-06,1970
England,2024-07-10,1996
England,2024-07-14,1980
England,2024-09-07,1991
England,2024-09-10,1995
England,2024-10-10,1961
England,2024-10-13,1971
England,2024-11-14,2001
England,2024-11-17,2006
England,2025-06-07,2011
England,2025-06-10,1984
England,2025-09-06,1984
England,2025-09-09,2019
England,2025-10-09,2022
England,2025-10-14,2024
England,2025-11-13,2031
England,2025-11-16,2042
England,2026-03-27,2036
England,2026-03-31,2020
Equatorial Guinea,2024-01-09,1505
Equatorial Guinea,2024-01-14,1509
Equatorial Guinea,2024-01-18,1535
Equatorial Guinea,2024-01-22,1604
Equatorial Guinea,2024-01-28,1569
Equatorial Guinea,2024-03-22,1570
Equatorial Guinea,2024-03-25,1555
Equatorial Guinea,2024-06-05,1546
Equatorial Guinea,2024-06-10,1551
Equatorial Guinea,2024-09-05,1536
Equatorial Guinea,2024-09-09,1523
Equatorial Guinea,2024-10-11,1527
Equatorial Guinea,2024-10-14,1538
Equatorial Guinea,2024-11-14,1541
Equatorial Guinea,2024-11-17,1496
Equatorial Guinea,2025-12-31,1383
